year,state,state_po,county_name,county_fips,Total Votes,Republican,Democrat,Repub_%,Dem_%,Majority
2020,ALABAMA,AL,ESCAMBIA,1053,15910,10869,4918,0.68316,0.30911,Republican
2020,ALABAMA,AL,ETOWAH,1055,47728,35528,11567,0.74438,0.24235,Republican
2020,ALABAMA,AL,FAYETTE,1057,8766,7300,1395,0.83276,0.15914,Republican
2020,ALABAMA,AL,FRANKLIN,1059,12578,10376,2086,0.82493,0.16585,Republican
2020,ALABAMA,AL,GENEVA,1061,12545,10848,1595,0.86473,0.12714,Republican
2020,ALABAMA,AL,GREENE,1063,4775,875,3884,0.18325,0.8134,Democrat
2020,ALABAMA,AL,HALE,1065,7900,3192,4663,0.40405,0.59025,Democrat
2020,ALABAMA,AL,HENRY,1067,9298,6607,2606,0.71058,0.28028,Republican
2020,ALABAMA,AL,HOUSTON,1069,46173,32618,12917,0.70643,0.27975,Republican
2020,ALABAMA,AL,JACKSON,1071,23636,19670,3717,0.83221,0.15726,Republican
2020,ALABAMA,AL,JEFFERSON,1073,325848,138843,181688,0.4261,0.55759,Democrat
2020,ALABAMA,AL,LAMAR,1075,7193,6174,978,0.85833,0.13597,Republican
2020,ALABAMA,AL,LAUDERDALE,1077,44339,31721,11915,0.71542,0.26873,Republican
2020,ALABAMA,AL,LAWRENCE,1079,16031,12322,3562,0.76864,0.22219,Republican
2020,ALABAMA,AL,LEE,1081,71449,42221,27860,0.59092,0.38993,Republican
2020,ALABAMA,AL,LIMESTONE,1083,49235,34640,13672,0.70356,0.27769,Republican
2020,ALABAMA,AL,LOWNDES,1085,6835,1836,4972,0.26862,0.72743,Democrat
2020,ALABAMA,AL,MACON,1087,8723,1541,7108,0.17666,0.81486,Democrat
2020,ALABAMA,AL,MADISON,1089,194767,102780,87286,0.52771,0.44816,Republican
2020,ALABAMA,AL,MARENGO,1091,10900,5343,5488,0.49018,0.50349,Democrat
2020,ALABAMA,AL,MARION,1093,13807,12205,1463,0.88397,0.10596,Republican
2020,ALABAMA,AL,MARSHALL,1095,39655,33191,5943,0.83699,0.14987,Republican
2020,ALABAMA,AL,MOBILE,1097,183164,101243,79474,0.55275,0.4339,Republican
2020,ALABAMA,AL,MONROE,1099,10668,6147,4455,0.57621,0.4176,Republican
2020,ALABAMA,AL,MONTGOMERY,1101,99139,33311,64529,0.336,0.65089,Democrat
2020,ALABAMA,AL,MORGAN,1103,53722,39664,13234,0.73832,0.24634,Republican
2020,ALABAMA,AL,PERRY,1105,5230,1339,3860,0.25602,0.73805,Democrat
